TagID,Count,LogID
3,4,7191823245984878592
4,1,7191823245984878592
6,3,7191823245984878592
5,4,7191823245984878592
2,2,7191823245984878592
1,1,7191823245984878592
4,3,7191823305632075776
2,4,7191823305632075776
6,5,7191823305632075776
3,6,7191823305632075776
5,7,7191823305632075776
1,3,7191823305632075776
3,8,7191823365526736896
5,8,7191823365526736896
2,3,7191823365526736896
4,6,7191823365526736896
6,7,7191823365526736896
1,4,7191823365526736896
3,6,7191823424704172032
5,7,7191823424704172032
6,5,7191823424704172032
1,5,7191823424704172032
4,3,7191823424704172032
2,2,7191823424704172032
3,10,7191823482048696320
5,9,7191823482048696320
6,3,7191823482048696320
2,1,7191823482048696320
4,2,7191823482048696320
1,1,7191823482048696320
1,7,7191823536239104000
3,8,7191823536239104000
4,5,7191823536239104000
5,8,7191823536239104000
2,3,7191823536239104000
6,3,7191823536239104000
3,9,7191823590198824960
5,5,7191823590198824960
1,6,7191823590198824960
2,3,7191823590198824960
6,1,7191823590198824960
3,7,7191823644674445312
1,3,7191823644674445312
4,2,7191823644674445312
5,7,7191823644674445312
6,2,7191823644674445312
1,3,7191823699770822656
3,4,7191823699770822656
5,7,7191823699770822656
2,3,7191823699770822656
6,1,7191823699770822656
1,6,7191823754514878464
3,8,7191823754514878464
5,7,7191823754514878464
6,7,7191823754514878464
2,2,7191823754514878464
4,2,7191823754514878464
4,3,7191823809355403264
1,2,7191823809355403264
3,5,7191823809355403264
5,7,7191823809355403264
6,6,7191823809355403264
2,2,7191823809355403264
3,7,7191823864061710336
2,3,7191823864061710336
4,1,7191823864061710336
5,8,7191823864061710336
1,3,7191823864061710336
6,1,7191823864061710336
3,8,7191823917740412928
4,2,7191823917740412928
5,9,7191823917740412928
2,4,7191823917740412928
1,2,7191823917740412928
6,1,7191823917740412928
3,10,7191823972895510528
6,4,7191823972895510528
4,3,7191823972895510528
5,7,7191823972895510528
1,1,7191823972895510528
2,2,7191823972895510528
1,3,7191824027400491008
3,9,7191824027400491008
5,7,7191824027400491008
4,2,7191824027400491008
6,2,7191824027400491008
2,3,7191824027400491008
5,8,7191824081658007552
3,8,7191824081658007552
6,3,7191824081658007552
2,3,7191824081658007552
4,2,7191824081658007552
1,2,7191824081658007552
1,4,7191824139392602112
3,9,7191824139392602112
6,2,7191824139392602112
5,6,7191824139392602112
2,2,7191824139392602112
4,2,7191824139392602112
3,4,7191824194006634496
4,3,7191824194006634496
5,9,7191824194006634496
6,3,7191824194006634496
1,2,7191824194006634496
2,1,7191824194006634496
3,7,7191824251019808768
5,5,7191824251019808768
6,2,7191824251019808768
1,2,7191824251019808768
2,1,7191824251019808768
4,2,7191824251019808768
2,4,7191824307504500736
1,4,7191824307504500736
3,10,7191824307504500736
5,6,7191824307504500736
6,4,7191824307504500736
1,3,7191824363112583168
3,7,7191824363112583168
4,3,7191824363112583168
5,8,7191824363112583168
1,2,7191824419274313728
5,9,7191824419274313728
3,3,7191824419274313728
6,3,7191824419274313728
4,1,7191824419274313728
3,7,7191824477818408960
4,3,7191824477818408960
6,3,7191824477818408960
5,8,7191824477818408960
2,3,7191824477818408960
1,1,7191824477818408960
3,7,7191824534647033856
5,7,7191824534647033856
6,4,7191824534647033856
1,1,7191824534647033856
2,2,7191824534647033856
4,1,7191824534647033856
3,10,7191824596357828608
5,8,7191824596357828608
6,5,7191824596357828608
1,3,7191824596357828608
2,2,7191824596357828608
4,1,7191824596357828608
1,5,7191824652473421824
5,6,7191824652473421824
3,8,7191824652473421824
2,3,7191824652473421824
4,2,7191824652473421824
6,7,7191824652473421824
3,11,7191824710308679680
4,1,7191824710308679680
2,6,7191824710308679680
6,2,7191824710308679680
5,7,7191824710308679680
1,3,7191824710308679680
3,9,7191824768726945792
5,9,7191824768726945792
6,5,7191824768726945792
2,3,7191824768726945792
1,3,7191824768726945792
4,1,7191824768726945792
1,3,7191824826033721344
6,5,7191824826033721344
3,8,7191824826033721344
5,7,7191824826033721344
2,5,7191824826033721344
4,3,7191824826033721344
3,9,7191824885651558400
5,6,7191824885651558400
1,4,7191824885651558400
2,2,7191824885651558400
6,4,7191824885651558400
4,1,7191824885651558400
3,9,7191824940680826880
4,4,7191824940680826880
5,6,7191824940680826880
6,4,7191824940680826880
1,2,7191824940680826880
2,2,7191824940680826880
3,6,7191825002886549504
5,7,7191825002886549504
6,3,7191825002886549504
1,3,7191825002886549504
4,2,7191825002886549504
2,2,7191825002886549504
6,6,7191825059090223104
2,4,7191825059090223104
1,3,7191825059090223104
3,9,7191825059090223104
5,10,7191825059090223104
4,4,7191825059090223104
1,3,7191825118783557632
3,9,7191825118783557632
5,7,7191825118783557632
2,2,7191825118783557632
6,3,7191825118783557632
4,6,7191825118783557632
3,9,7191825176719478784
4,2,7191825176719478784
5,8,7191825176719478784
6,6,7191825176719478784
2,5,7191825176719478784
1,3,7191825176719478784
3,7,7191825230385598464
6,3,7191825230385598464
4,1,7191825230385598464
5,8,7191825230385598464
2,5,7191825230385598464
1,1,7191825230385598464
3,9,7191825292209639424
5,6,7191825292209639424
1,2,7191825292209639424
4,2,7191825292209639424
